Species,0.6
American Tree Sparrow,4
White-throated Sparrow,3
Red-whiskered Bulbul,3
California Quail,1
American Goldfinch,4
Northern Shrike,1
Varied Thrush,2
Bushtit,4
Hermit Thrush,4
Rock Pigeon,2
Carolina Wren,3
Red-bellied Woodpecker,1
Pine Warbler,4
Herring Gull,1
Band-tailed Pigeon,1
Gray-crowned Rosy-Finch,1
Red-winged Blackbird,2
Chipping Sparrow,4
Field Sparrow,3
European Starling,2
Gray Catbird,2
Rosy-faced Lovebird,1
Palm Warbler,2
Evening Grosbeak,3
White-crowned Sparrow,3
Mountain Chickadee,4
Golden-fronted Woodpecker,1
Great Blue Heron,1
Fox Sparrow,2
Painted Bunting,4
Brewer's Blackbird,3
Gambel's Quail,1
Common Raven,1
Woodhouse's Scrub-Jay,2
Eastern Bluebird,3
Steller's Jay,3
Rose-breasted Grosbeak,4
Black-crested Titmouse,3
Dark-eyed Junco,4
Pine Siskin,4
Brown Thrasher,2
Townsend's Warbler,4
Townsend's Solitaire,4
Wood Duck,2
Audubon's Oriole,1
House Sparrow,3
Sharp-tailed Grouse,4
Red-breasted Sapsucker,1
Green Jay,2
Boat-tailed Grackle,1
Purple Finch,4
Boreal Chickadee,4
House Finch,4
Song Sparrow,3
Lapland Longspur,4
Northern Mockingbird,1
Long-billed Thrasher,3
Swamp Sparrow,4
Oak Titmouse,2
Western Tanager,2
White-winged Dove,3
Western Bluebird,1
Downy Woodpecker,3
Eastern Phoebe,3
Hooded Oriole,1
Gilded Flicker,2
Black-capped Chickadee,4
Common Redpoll,4
Cassin's Finch,3
Lesser Goldfinch,4
Red Crossbill,3
California Towhee,3
Blue Jay,2
Cedar Waxwing,2
Mallard,1
Red-naped Sapsucker,2
Chestnut-backed Chickadee,4
Eurasian Collared-Dove,1
Gila Woodpecker,3
Lewis's Woodpecker,1
Northern Cardinal,3
Baltimore Oriole,2
Pinyon Jay,3
Green-winged Teal,2
Ruby-throated Hummingbird,4
Golden-crowned Kinglet,3
Pygmy Nuthatch,4
American Robin,2
Canyon Towhee,2
Orange-crowned Warbler,4
White-headed Woodpecker,3
Abert's Towhee,2
Lincoln's Sparrow,4
California Thrasher,2
Ruby-crowned Kinglet,4
American Crow,1
White-breasted Nuthatch,3
Tufted Titmouse,3
Snow Bunting,3
Pileated Woodpecker,1
Anna's Hummingbird,4
Yellow-bellied Sapsucker,1
Wild Turkey,1
Black Phoebe,2
Yellow-rumped Warbler,3
Hairy Woodpecker,2
Ruffed Grouse,1
Mourning Dove,2
Spotted Towhee,2
Carolina Chickadee,4
Harris's Sparrow,3
Great-tailed Grackle,1
Golden-crowned Sparrow,3
Curve-billed Thrasher,1
Northwestern Crow,1
Eastern Towhee,2
Ring-necked Pheasant,3
Brown-headed Cowbird,2
California Scrub-Jay,2
Red-breasted Nuthatch,4
Gray Jay,4
Rufous-backed Robin,3
Nuttall's Woodpecker,2
Bewick's Wren,4
Eurasian Tree Sparrow,4
Red-headed Woodpecker,2
Pine Grosbeak,3
Black-billed Magpie,1
Canada Goose,1
Allen's Hummingbird,4
Brown-headed Nuthatch,3
Northern Flicker,2
Acorn Woodpecker,1
Rufous Hummingbird,1
Brown Creeper,4
Common Grackle,1
