"source","target"
"White-throated Sparrow","Dark-eyed Junco"
"House Sparrow","Song Sparrow"
"Northern Mockingbird","Eastern Bluebird"
"Northern Mockingbird","Eastern Bluebird"
"Northern Mockingbird","Pine Warbler"
"Northern Mockingbird","Yellow-rumped Warbler"
"Yellow-rumped Warbler","Carolina Chickadee"
"Yellow-rumped Warbler","Tufted Titmouse"
"Yellow-rumped Warbler","White-breasted Nuthatch"
"Red-bellied Woodpecker","Northern Mockingbird"
"Eastern Towhee","Song Sparrow"
"Northern Mockingbird","Tufted Titmouse"
"Northern Mockingbird","Carolina Chickadee"
"Blue Jay","American Goldfinch"
"Downy Woodpecker","American Goldfinch"
"American Robin","Eastern Bluebird"
"Red-headed Woodpecker","Tufted Titmouse"
"European Starling","Downy Woodpecker"
"European Starling","Hairy Woodpecker"
"Red-bellied Woodpecker","Blue Jay"
"European Starling","House Finch"
"European Starling","Downy Woodpecker"
"European Starling","Tufted Titmouse"
"European Starling","Eastern Bluebird"
"Pileated Woodpecker","Downy Woodpecker"
"Downy Woodpecker","House Sparrow"
"Yellow-rumped Warbler","Tufted Titmouse"
"Red-winged Blackbird","Northern Cardinal"
"Red-winged Blackbird","House Sparrow"
"Red-winged Blackbird","Downy Woodpecker"
"Red-winged Blackbird","Carolina Chickadee"
"Red-winged Blackbird","Carolina Wren"
"Common Grackle","Northern Cardinal"
"Common Grackle","House Sparrow"
"Common Grackle","Downy Woodpecker"
"Common Grackle","Carolina Chickadee"
"Common Grackle","Carolina Wren"
"European Starling","Northern Cardinal"
"European Starling","House Sparrow"
"European Starling","Downy Woodpecker"
"European Starling","Carolina Chickadee"
"European Starling","Carolina Wren"
"Pine Siskin","Black-capped Chickadee"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Blue Jay","Common Redpoll"
"Downy Woodpecker","White-breasted Nuthatch"
"Hairy Woodpecker","Downy Woodpecker"
"American Robin","Carolina Chickadee"
"American Robin","White-breasted Nuthatch"
"American Robin","Northern Cardinal"
"American Robin","American Goldfinch"
"American Robin","House Finch"
"American Robin","House Sparrow"
"Red-bellied Woodpecker","House Sparrow"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Red-bellied Woodpecker","House Finch"
"Red-bellied Woodpecker","Carolina Chickadee"
"Red-bellied Woodpecker","American Goldfinch"
"Blue Jay","American Goldfinch"
"Blue Jay","House Finch"
"Blue Jay","Carolina Chickadee"
"Blue Jay","White-breasted Nuthatch"
"Pine Siskin","American Goldfinch"
"Mourning Dove","American Tree Sparrow"
"Mourning Dove","House Sparrow"
"Northern Cardinal","House Finch"
"Red-bellied Woodpecker","Downy Woodpecker"
"Blue Jay","Northern Cardinal"
"Blue Jay","House Finch"
